date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:31:21	299/299	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Sep%202007%2021:20:45%20GMT	http://www.cimcoinc.net/templates/system/images/selector-arrow.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/system/images/selector-arrow.png	(from http://www.cimcoinc.net/templates/system/css/general.css)
07:31:21	675/675	---M--	200	added ('OK')	image/png	date:Wed,%2026%20Sep%202007%2021:20:45%20GMT	http://www.cimcoinc.net/templates/system/images/calendar.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/system/images/calendar.png	(from http://www.cimcoinc.net/templates/system/css/general.css)
07:31:21	116912/116912	---M--	200	added ('OK')	image/jpeg	date:Sun,%2004%20Mar%202012%2001:44:46%20GMT	http://www.cimcoinc.net/images/slide/scan008001.jpg	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/images/slide/scan008001.jpg	(from http://www.cimcoinc.net/)
07:31:22	256/256	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/white-10.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/white-10.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/main.css)
07:31:22	44158/44158	---MC-	200	added ('OK')	application/javascript	date:Wed,%2028%20Mar%202018%2012:31:16%20GMT	https://apis.google.com/js/plusone.js	C:/My%20Web%20Sites/cimcoinc.net/apis.google.com/js/plusone.js	(from http://www.cimcoinc.net/)
07:31:22	255/255	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/white-80.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/white-80.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/main.css)
07:31:22	256/256	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/black-07.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/black-07.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/main.css)
07:31:22	256/256	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/white-20.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/white-20.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/main.css)
07:31:23	256/256	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/black-05.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/black-05.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/main.css)
07:31:23	256/256	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/black-04.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/black-04.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/main.css)
07:31:23	273/273	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/gradient-menu.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/gradient-menu.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/nav.css)
07:31:24	209/209	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/puce-link.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/puce-link.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/nav.css)
07:31:24	243/243	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/list_bullet.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/list_bullet.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/template.css)
07:31:24	292/292	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/list_normal.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/list_normal.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/template.css)
07:31:24	368/368	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/list_check.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/list_check.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/template.css)
07:31:25	321/321	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/list_arrow.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/list_arrow.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/template.css)
07:31:25	276/276	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/list_circle.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/list_circle.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/template.css)
07:31:25	296/296	---M--	200	added ('OK')	image/png	date:Sun,%2004%20Mar%202012%2000:16:52%20GMT	http://www.cimcoinc.net/templates/joomspirit_70/images/list_normal_red.png	C:/My%20Web%20Sites/cimcoinc.net/www.cimcoinc.net/templates/joomspirit_70/images/list_normal_red.png	(from http://www.cimcoinc.net/templates/joomspirit_70/css/template.css)
